Issue	Author(s)
13	Колетт Шульман, Надежда Ажгихина
13	Линда Бах, Марион Чамберлен, Мартина Ванденберг, Марина Либоракина, Елена Кочкина, Любовь Штылева
13	Колетт Шульман
13	Надежда Ажгихина
13	Надежда Кузнецова
13	Елена Мещеркина
13	Мария Арбатова, Павел Мирошник
13	Джил Кер Конуэй
13	
13	Анн Лагерстром
13	Элизабет Висли
13	Мег Хогарт
13	Валентина Череватенко
14	
14	Алида Брилл
14	Ирина Савельева
14	Наталья Кигай
14	Ванда Новицка
14	Андрей Попов, Алина Жвенклене
14	Колетт Шульман
14	Светлана Костенко
14	Наталья Чеснокова
14	Нана Ломидзе
14	Марина Евграшина
18	Мариам Чамберлен
18	Адриенн Рич
18	Круглый стол
18	Галина Скороходова
18	Виктор и Ирина Каган
18	Анна Альчук
18	Лариса Бойченко
18	Наталья Красавцева
18	Интервью Л.Бойченко
18	Интервью Л.Бойченко
18	Наталья Красавцева
18	Валентина Хотеева
18	Юлия Утышева
18	Антонина Кябелева
18	Наталья Красавцева
18	Ольга Голубева
18	Валентина Казакова
18	Коллин Маккуилен
18	Хизер Джонс
18	Светлана Бестужева-Лада
15	Марина Добровольская
15	Глория Даффи
15	Колетт Шульман
15	Синтия Маккей
15	Сьюзан Моргентау
15	
15	Эллен Швамм Бродки
15	Эми Хемпел
15	Мария Котовская, Наталья Шалытина, Мария Золотухина
15	Линн Виссон
15	Надежда Ажгихина
15	Надежда Ажгихина
15	Ольга Линовская
15	Елена Кочкина
15	
19	Колетт Шульман
19	Надежда Ажгихина
19	Светлана Свистунова
19	Татьяна Юрасова
19	Зоя Хоткина
19	Любовь Штылева
19	Любовь Штылева, Светлана Паршкова, Ирина Фогт
19	Евгения Зимина
19	Надежда Хлебникова
19	Евгения Зимина
19	Людмила Карху
19	Людмила Карху
19	Людмила Карху
19	Евгения Зимина
19	Виктор и Ирина Каган
19	Елена Черкасова
19	Ката Поллит
16	Валтрауд Айланд
16	Колетт Шульман
16	Колетт Шульман
16	Ида Шмерц
16	Валентина Казакова
16	Надежда Ажгихина
16	Светлана Купряшкина
16	Ольга Воронина
16	Одри МакЛолин
16	
16	Елена Черкасова
20	Колетт Шульман
20	Оля Черенцова
20	Колетт Шульман
20	Елена Чакириди
20	О.Б. Осколкова
20	Колетт Шульман
20	Анна Дунаевская
20	Анна Дунаевская
20	Тамара Комиссарова
20	Валентина Юрьева
20	Валентина Казакова
20	Валентина Казакова
20	Ирина Макарова
20	Ирина и Виктор Каган
20	Наталья Арт
23	Елена Кочкина
23	Яссин Фолл
23	Генри Холмс, Андрей Синельников
23	Николай Злобин
23	Анаит Арутюнян
23	Елена Вартанян
23	Мариетта Саакян
23	Джемма Асратян
23	Валерия Захарян
23	В.Г. Осипов
23	Тамара Овнатанян
23	Софья Бабаян
23	Марина Григорян
23	Барбара Фридман
24	
24	Мередит Такс
24	Марсиа Джилспи, Мерилин Френч, Риффат Хассан, Хелен Ла-Келли Хант, Летти Коттин Погребин, Чанг Юнг Кьюнг, Фей Уотлтон, Ката Поллитт, Френсис Кисслинг, Денис Аккерман, Рабби Эти Левин, Терезия Хинга, Хелен Гуорков
24	Наталья Мандельбаум
24	Френсис Кисслинг
24	Ирина Кортен
24	Надежда Ажгихина
24	Надежда Ажгихина
