Id	Label	node-type
Колетт Шульман, Надежда Ажгихина	Колетт Шульман, Надежда Ажгихина	author
Линда Бах, Марион Чамберлен, Мартина Ванденберг, Марина Либоракина, Елена Кочкина, Любовь Штылева	Линда Бах, Марион Чамберлен, Мартина Ванденберг, Марина Либоракина, Елена Кочкина, Любовь Штылева	author
Колетт Шульман	Колетт Шульман	author
Надежда Ажгихина	Надежда Ажгихина	author
Надежда Кузнецова	Надежда Кузнецова	author
Елена Мещеркина	Елена Мещеркина	author
Мария Арбатова, Павел Мирошник	Мария Арбатова, Павел Мирошник	author
Джил Кер Конуэй	Джил Кер Конуэй	author
Анн Лагерстром	Анн Лагерстром	author
Элизабет Висли	Элизабет Висли	author
Мег Хогарт	Мег Хогарт	author
Валентина Череватенко	Валентина Череватенко	author
Алида Брилл	Алида Брилл	author
Ирина Савельева	Ирина Савельева	author
Наталья Кигай	Наталья Кигай	author
Ванда Новицка	Ванда Новицка	author
Андрей Попов, Алина Жвенклене	Андрей Попов, Алина Жвенклене	author
Колетт Шульман	Колетт Шульман	author
Светлана Костенко	Светлана Костенко	author
Наталья Чеснокова	Наталья Чеснокова	author
Нана Ломидзе	Нана Ломидзе	author
Марина Евграшина	Марина Евграшина	author
Мариам Чамберлен	Мариам Чамберлен	author
Адриенн Рич	Адриенн Рич	author
Круглый стол	Круглый стол	author
Галина Скороходова	Галина Скороходова	author
Виктор и Ирина Каган	Виктор и Ирина Каган	author
Анна Альчук	Анна Альчук	author
Лариса Бойченко	Лариса Бойченко	author
Наталья Красавцева	Наталья Красавцева	author
Интервью Л.Бойченко	Интервью Л.Бойченко	author
Интервью Л.Бойченко	Интервью Л.Бойченко	author
Наталья Красавцева	Наталья Красавцева	author
Валентина Хотеева	Валентина Хотеева	author
Юлия Утышева	Юлия Утышева	author
Антонина Кябелева	Антонина Кябелева	author
Наталья Красавцева	Наталья Красавцева	author
Ольга Голубева	Ольга Голубева	author
Валентина Казакова	Валентина Казакова	author
Коллин Маккуилен	Коллин Маккуилен	author
Хизер Джонс	Хизер Джонс	author
Светлана Бестужева-Лада	Светлана Бестужева-Лада	author
Марина Добровольская	Марина Добровольская	author
Глория Даффи	Глория Даффи	author
Колетт Шульман	Колетт Шульман	author
Синтия Маккей	Синтия Маккей	author
Сьюзан Моргентау	Сьюзан Моргентау	author
Эллен Швамм Бродки	Эллен Швамм Бродки	author
Эми Хемпел	Эми Хемпел	author
Мария Котовская, Наталья Шалытина, Мария Золотухина	Мария Котовская, Наталья Шалытина, Мария Золотухина	author
Линн Виссон	Линн Виссон	author
Надежда Ажгихина	Надежда Ажгихина	author
Надежда Ажгихина	Надежда Ажгихина	author
Ольга Линовская	Ольга Линовская	author
Елена Кочкина	Елена Кочкина	author
Колетт Шульман	Колетт Шульман	author
Надежда Ажгихина	Надежда Ажгихина	author
Светлана Свистунова	Светлана Свистунова	author
Татьяна Юрасова	Татьяна Юрасова	author
Зоя Хоткина	Зоя Хоткина	author
Любовь Штылева	Любовь Штылева	author
Любовь Штылева, Светлана Паршкова, Ирина Фогт	Любовь Штылева, Светлана Паршкова, Ирина Фогт	author
Евгения Зимина	Евгения Зимина	author
Надежда Хлебникова	Надежда Хлебникова	author
Евгения Зимина	Евгения Зимина	author
Людмила Карху	Людмила Карху	author
Людмила Карху	Людмила Карху	author
Людмила Карху	Людмила Карху	author
Евгения Зимина	Евгения Зимина	author
Виктор и Ирина Каган	Виктор и Ирина Каган	author
Елена Черкасова	Елена Черкасова	author
Ката Поллит	Ката Поллит	author
Валтрауд Айланд	Валтрауд Айланд	author
Колетт Шульман	Колетт Шульман	author
Колетт Шульман	Колетт Шульман	author
Ида Шмерц	Ида Шмерц	author
Валентина Казакова	Валентина Казакова	author
Надежда Ажгихина	Надежда Ажгихина	author
Светлана Купряшкина	Светлана Купряшкина	author
Ольга Воронина	Ольга Воронина	author
Одри МакЛолин	Одри МакЛолин	author
Елена Черкасова	Елена Черкасова	author
Колетт Шульман	Колетт Шульман	author
Оля Черенцова	Оля Черенцова	author
Колетт Шульман	Колетт Шульман	author
Елена Чакириди	Елена Чакириди	author
О.Б. Осколкова	О.Б. Осколкова	author
Колетт Шульман	Колетт Шульман	author
Анна Дунаевская	Анна Дунаевская	author
Анна Дунаевская	Анна Дунаевская	author
Тамара Комиссарова	Тамара Комиссарова	author
Валентина Юрьева	Валентина Юрьева	author
Валентина Казакова	Валентина Казакова	author
Валентина Казакова	Валентина Казакова	author
Ирина Макарова	Ирина Макарова	author
Ирина и Виктор Каган	Ирина и Виктор Каган	author
Наталья Арт	Наталья Арт	author
Елена Кочкина	Елена Кочкина	author
Яссин Фолл	Яссин Фолл	author
Генри Холмс, Андрей Синельников	Генри Холмс, Андрей Синельников	author
Николай Злобин	Николай Злобин	author
Анаит Арутюнян	Анаит Арутюнян	author
Елена Вартанян	Елена Вартанян	author
Мариетта Саакян	Мариетта Саакян	author
Джемма Асратян	Джемма Асратян	author
Валерия Захарян	Валерия Захарян	author
В.Г. Осипов	В.Г. Осипов	author
Тамара Овнатанян	Тамара Овнатанян	author
Софья Бабаян	Софья Бабаян	author
Марина Григорян	Марина Григорян	author
Барбара Фридман	Барбара Фридман	author
Мередит Такс	Мередит Такс	author
Марсиа Джилспи, Мерилин Френч, Риффат Хассан, Хелен Ла-Келли Хант, Летти Коттин Погребин, Чанг Юнг Кьюнг, Фей Уотлтон, Ката Поллитт, Френсис Кисслинг, Денис Аккерман, Рабби Эти Левин, Терезия Хинга, Хелен Гуорков	Марсиа Джилспи, Мерилин Френч, Риффат Хассан, Хелен Ла-Келли Хант, Летти Коттин Погребин, Чанг Юнг Кьюнг, Фей Уотлтон, Ката Поллитт, Френсис Кисслинг, Денис Аккерман, Рабби Эти Левин, Терезия Хинга, Хелен Гуорков	author
Наталья Мандельбаум	Наталья Мандельбаум	author
Френсис Кисслинг	Френсис Кисслинг	author
Ирина Кортен	Ирина Кортен	author
Надежда Ажгихина	Надежда Ажгихина	author
Надежда Ажгихина	Надежда Ажгихина	author
