Source	Label	node-type
Анн Лагерстром	Анн Лагерстром	author
Валентина Череватенко	Валентина Череватенко	author
Джил Кер Конуэй	Джил Кер Конуэй	author
Елена Кочкина	Елена Кочкина	author
Елена Мещеркина	Елена Мещеркина	author
Колетт Шульман	Колетт Шульман	author
Линда Бах	Линда Бах	author
Любовь Штылева	Любовь Штылева	author
Марина Либоракина	Марина Либоракина	author
Марион Чамберлен	Марион Чамберлен	author
Мария Арбатова	Мария Арбатова	author
Мартина Ванденберг	Мартина Ванденберг	author
Мег Хогарт	Мег Хогарт	author
Надежда Ажгихина	Надежда Ажгихина	author
Надежда Кузнецова	Надежда Кузнецова	author
Павел Мирошник	Павел Мирошник	author
Элизабет Висли	Элизабет Висли	author
Алида Брилл	Алида Брилл	author
Алина Жвенклене	Алина Жвенклене	author
Андрей Попов	Андрей Попов	author
Ванда Новицка	Ванда Новицка	author
Ирина Савельева	Ирина Савельева	author
Колетт Шульман	Колетт Шульман	author
Марина Евграшина	Марина Евграшина	author
Нана Ломидзе	Нана Ломидзе	author
Наталья Кигай	Наталья Кигай	author
Наталья Чеснокова	Наталья Чеснокова	author
Светлана Костенко	Светлана Костенко	author
Адриенн Рич	Адриенн Рич	author
Анна Альчук	Анна Альчук	author
Антонина Кябелева	Антонина Кябелева	author
Валентина Казакова	Валентина Казакова	author
Валентина Хотеева	Валентина Хотеева	author
Виктор Каган	Виктор Каган	author
Галина Скороходова	Галина Скороходова	author
Ирина Каган	Ирина Каган	author
Коллин Маккуилен	Коллин Маккуилен	author
Круглый стол	Круглый стол	author
Лариса Бойченко	Лариса Бойченко	author
Мариам Чамберлен	Мариам Чамберлен	author
Наталья Красавцева	Наталья Красавцева	author
Ольга Голубева	Ольга Голубева	author
Светлана Бестужева-Лада	Светлана Бестужева-Лада	author
Хизер Джонс	Хизер Джонс	author
Юлия Утышева	Юлия Утышева	author
Глория Даффи	Глория Даффи	author
Елена Кочкина	Елена Кочкина	author
Колетт Шульман	Колетт Шульман	author
Линн Виссон	Линн Виссон	author
Марина Добровольская	Марина Добровольская	author
Мария Золотухина	Мария Золотухина	author
Мария Котовская	Мария Котовская	author
Надежда Ажгихина	Надежда Ажгихина	author
Наталья Шалытина	Наталья Шалытина	author
Ольга Линовская	Ольга Линовская	author
Синтия Маккей	Синтия Маккей	author
Сьюзан Моргентау	Сьюзан Моргентау	author
Эллен Швамм Бродки	Эллен Швамм Бродки	author
Эми Хемпел	Эми Хемпел	author
Виктор Каган	Виктор Каган	author
Евгения Зимина	Евгения Зимина	author
Елена Черкасова	Елена Черкасова	author
Зоя Хоткина	Зоя Хоткина	author
Ирина Каган	Ирина Каган	author
Ирина Фогт	Ирина Фогт	author
Ката Поллит	Ката Поллит	author
Колетт Шульман	Колетт Шульман	author
Любовь Штылева	Любовь Штылева	author
Людмила Карху	Людмила Карху	author
Надежда Ажгихина	Надежда Ажгихина	author
Надежда Хлебникова	Надежда Хлебникова	author
Светлана Паршкова	Светлана Паршкова	author
Светлана Свистунова	Светлана Свистунова	author
Татьяна Юрасова	Татьяна Юрасова	author
Валентина Казакова	Валентина Казакова	author
Валтрауд Айланд	Валтрауд Айланд	author
Елена Черкасова	Елена Черкасова	author
Ида Шмерц	Ида Шмерц	author
Колетт Шульман	Колетт Шульман	author
Надежда Ажгихина	Надежда Ажгихина	author
Одри МакЛолин	Одри МакЛолин	author
Ольга Воронина	Ольга Воронина	author
Светлана Купряшкина	Светлана Купряшкина	author
Анна Дунаевская	Анна Дунаевская	author
Валентина Казакова	Валентина Казакова	author
Валентина Юрьева	Валентина Юрьева	author
Виктор Каган	Виктор Каган	author
Елена Чакириди	Елена Чакириди	author
Ирина Каган	Ирина Каган	author
Ирина Макарова	Ирина Макарова	author
Колетт Шульман	Колетт Шульман	author
Наталья Арт	Наталья Арт	author
О.Б. Осколкова	О.Б. Осколкова	author
Оля Черенцова	Оля Черенцова	author
Тамара Комиссарова	Тамара Комиссарова	author
Анаит Арутюнян	Анаит Арутюнян	author
Андрей Синельников	Андрей Синельников	author
Барбара Фридман	Барбара Фридман	author
В.Г. Осипов	В.Г. Осипов	author
Валерия Захарян	Валерия Захарян	author
Генри Холмс	Генри Холмс	author
Джемма Асратян	Джемма Асратян	author
Елена Вартанян	Елена Вартанян	author
Елена Кочкина	Елена Кочкина	author
Мариетта Саакян	Мариетта Саакян	author
Марина Григорян	Марина Григорян	author
Николай Злобин	Николай Злобин	author
Софья Бабаян	Софья Бабаян	author
Тамара Овнатанян	Тамара Овнатанян	author
Яссин Фолл	Яссин Фолл	author
Денис Аккерман	Денис Аккерман	author
Екатерина Скобло	Екатерина Скобло	author
И.С. Синичкина	И.С. Синичкина	author
Ирина Кортен	Ирина Кортен	author
Ката Поллит	Ката Поллит	author
Л.Д. Бойченко	Л.Д. Бойченко	author
Летти Коттин Погребин	Летти Коттин Погребин	author
Людмила Бондаренко	Людмила Бондаренко	author
Марсиа Джилспи	Марсиа Джилспи	author
Мередит Такс	Мередит Такс	author
Мерилин Френч	Мерилин Френч	author
Надежда Ажгихина	Надежда Ажгихина	author
Наталья Мандельбаум	Наталья Мандельбаум	author
Рабби Эти Левин	Рабби Эти Левин	author
Риффат Хассан	Риффат Хассан	author
Терезия Хинга	Терезия Хинга	author
Фей Уолтон	Фей Уолтон	author
Френсис Кисслинг	Френсис Кисслинг	author
Хелен Гуорков	Хелен Гуорков	author
Хелен Ла-Келли Хант	Хелен Ла-Келли Хант	author
Чанг Юнг Кьюнг	Чанг Юнг Кьюнг	author
Юлия Протасова	Юлия Протасова	author
Анна Наталия Малаховская	Анна Наталия Малаховская	author
Колетт Шульман	Колетт Шульман	author
Марина Адамович	Марина Адамович	author
Мария Котовская	Мария Котовская	author
Надежда Хлебникова	Надежда Хлебникова	author
Надежда Шведова	Надежда Шведова	author
Наталья Васильева	Наталья Васильева	author
Наталья Кигай	Наталья Кигай	author
Ольга Газизова	Ольга Газизова	author
Талиба Джилани	Талиба Джилани	author
Тамара Карнаухова	Тамара Карнаухова	author
Татьяна Гусева	Татьяна Гусева	author
Аймира Урустемова	Аймира Урустемова	author
Анна Волкова	Анна Волкова	author
Антонина Ли	Антонина Ли	author
Брук Уиттерс	Брук Уиттерс	author
Голоса участниц	Голоса участниц	author
Гульнара Ибраева	Гульнара Ибраева	author
Екатерина Косурова	Екатерина Косурова	author
Елена Машкова	Елена Машкова	author
Женя Ваганова	Женя Ваганова	author
Женя Кенарская	Женя Кенарская	author
Жумадин Кадыров	Жумадин Кадыров	author
Замира Белекова	Замира Белекова	author
Ирина Романенко	Ирина Романенко	author
Колетт Шульман	Колетт Шульман	author
Ольга Терентьева	Ольга Терентьева	author
Оля Лучкова	Оля Лучкова	author
Рубина Закирова	Рубина Закирова	author
Света Ваганова	Света Ваганова	author
Света Машкова	Света Машкова	author
София Куломзин	София Куломзин	author
Сьюзен Эндрюс	Сьюзен Эндрюс	author
Александра Солик	Александра Солик	author
Бильяна Бийелич	Бильяна Бийелич	author
Валентина Броневич	Валентина Броневич	author
Галина Карелова	Галина Карелова	author
Дина Логин	Дина Логин	author
Екатерина Лахова	Екатерина Лахова	author
Елена Машкова	Елена Машкова	author
Женовева Тишева	Женовева Тишева	author
Ирина Рыбалкина	Ирина Рыбалкина	author
Каталин Медведев	Каталин Медведев	author
Кофи Аннан	Кофи Аннан	author
Любовь Слиска	Любовь Слиска	author
Людмила Завадская	Людмила Завадская	author
Марша Гринберг	Марша Гринберг	author
Надежда Ажгихина	Надежда Ажгихина	author
Наталья Бережная	Наталья Бережная	author
Наталья Крылова	Наталья Крылова	author
Нолин Хейзер	Нолин Хейзер	author
Ольга Липовская	Ольга Липовская	author
Павлина Филипова	Павлина Филипова	author
Рауль Сингх	Рауль Сингх	author
Регина Индшева	Регина Индшева	author
Томка Дилевска	Томка Дилевска	author
Флюра Зиятдинова	Флюра Зиятдинова	author
Элен Чансиз	Элен Чансиз	author
Аннамария Тальявини	Аннамария Тальявини	author
Диана Чули	Диана Чули	author
Лариса Луканина	Лариса Луканина	author
Луиза Пассерини	Луиза Пассерини	author
Мередит Такс	Мередит Такс	author
Надежда Ажгихина	Надежда Ажгихина	author
Нина Терентьева	Нина Терентьева	author
Ольга Казачкова	Ольга Казачкова	author
Светлана Слапшак	Светлана Слапшак	author
Татьяна Еги	Татьяна Еги	author
Татьяна Калинина	Татьяна Калинина	author
Аймура Урустемова	Аймура Урустемова	author
Александр Ярков	Александр Ярков	author
Алла Денисова	Алла Денисова	author
Валентина Ковтун	Валентина Ковтун	author
Галина Гришина	Галина Гришина	author
Диана Дэвис	Диана Дэвис	author
Елена Кочкина	Елена Кочкина	author
Ия Мерквиладзе	Ия Мерквиладзе	author
Колетт Шульман	Колетт Шульман	author
Лариса Федорова	Лариса Федорова	author
Лидия Исамова	Лидия Исамова	author
Мавлюда Ширинова	Мавлюда Ширинова	author
Марина Усолкина	Марина Усолкина	author
Надежда Ажгихина	Надежда Ажгихина	author
Наталья Абубикирова	Наталья Абубикирова	author
Наталья Бабич	Наталья Бабич	author
Наталья Иванова	Наталья Иванова	author
Ольга Воронина	Ольга Воронина	author
Александра Федорова	Александра Федорова	author
Вера Иванова	Вера Иванова	author
Галина Петриашвили	Галина Петриашвили	author
Галина Скороходова	Галина Скороходова	author
Джемма Асратян	Джемма Асратян	author
Ирина Мардарь	Ирина Мардарь	author
Ирина Рыльникова	Ирина Рыльникова	author
Марина Дмитриева	Марина Дмитриева	author
Наталья Красавцева	Наталья Красавцева	author
Наталья Старцева	Наталья Старцева	author
Татьяна Дина	Татьяна Дина	author
Татьяна Степанова	Татьяна Степанова	author
Татьяна Федяева	Татьяна Федяева	author
Венера Мусина	Венера Мусина	author
Вера Церетели	Вера Церетели	author
Галина Щекина	Галина Щекина	author
Ирина Юрна	Ирина Юрна	author
Марфуа Тохтоходжаева	Марфуа Тохтоходжаева	author
Муяссар Максудова	Муяссар Максудова	author
Надежда Ажгихина	Надежда Ажгихина	author
Надежда Хлебникова	Надежда Хлебникова	author
Наталия Скворцова	Наталия Скворцова	author
Нина Курасова	Нина Курасова	author
Ольга Липовская	Ольга Липовская	author
Татьяна Федяева	Татьяна Федяева	author
Алина Ильина	Алина Ильина	author
Галина Петриашвили	Галина Петриашвили	author
Екатерина Макаркова	Екатерина Макаркова	author
